Powiaty,Ogółem,Mężczyźni,Kobiety
białogardzki,47560,23335,24225
bytowski,79198,39463,39735
aleksandrowski,55066,26746,28320
augustowski,58068,28432,29636
bartoszycki,57231,27946,29285
będziński,148089,70463,77626
bełchatowski,112779,55198,57581
białobrzeski,33410,16869,16541
białostocki,149611,73826,75785
bialski,110772,55094,55678
bielski,54353,26927,27426
bielski,165960,81051,84909
bieruńsko-lędziński,59776,29438,30338
bieszczadzki,21664,10682,10982
biłgorajski,100919,49765,51154
bocheński,106858,52835,54023
bolesławiecki,90103,43739,46364
braniewski,41034,20491,20543
brodnicki,79097,39157,39940
brzeski,93201,46255,46946
brzeski,89804,43793,46011
brzeziński,30833,14960,15873
brzozowski,65567,32441,33126
buski,71596,34933,36663
bydgoski,118683,58796,59887
chełmiński,51925,25446,26479
chełmski,78014,38562,39452
chodzieski,47055,23093,23962
chojnicki,97645,48157,49488
choszczeński,48243,24046,24197
chrzanowski,124536,60251,64285
ciechanowski,89423,43989,45434
cieszyński,178191,86525,91666
czarnkowsko-trzcianecki,86990,43160,43830
częstochowski,134555,65908,68647
człuchowski,56085,27717,28368
dąbrowski,59174,29525,29649
dębicki,135299,66850,68449
drawski,57015,27967,29048
działdowski,65139,32091,33048
dzierżoniowski,100813,48017,52796
elbląski,57211,28676,28535
ełcki,91560,44996,46564
garwoliński,108981,54112,54869
gdański,118489,58185,60304
giżycki,56565,27629,28936
gliwicki,115528,56005,59523
głogowski,89102,43353,45749
głubczycki,45552,22230,23322
gnieźnieński,145418,71160,74258
gołdapski,26689,13251,13438
goleniowski,82421,40717,41704
golubsko-dobrzyński,45018,22293,22725
gorlicki,108886,53918,54968
górowski,34870,17278,17592
gorzowski,71836,35609,36227
gostyniński,44899,21833,23066
gostyński,75908,37650,38258
grajewski,47210,23419,23791
grodziski,95963,45988,49975
grodziski,51893,25825,26068
grójecki,98311,48260,50051
grudziądzki,40238,20125,20113
gryficki,60277,29866,30411
gryfiński,81882,40525,41357
hajnowski,42610,20647,21963
hrubieszowski,62847,30812,32035
iławski,92879,46005,46874
inowrocławski,159814,77435,82379
janowski,45709,22684,23025
jarociński,71563,34874,36689
jarosławski,120247,58678,61569
jasielski,113450,55842,57608
jaworski,50116,24573,25543
jędrzejowski,85379,42278,43101
jeleniogórski,63591,30760,32831
kaliski,83026,40851,42175
kamiennogórski,43239,21140,22099
kamieński,46999,23007,23992
kartuski,139397,69621,69776
kazimierski,33619,16560,17059
kędzierzyńsko-kozielski,93880,45303,48577
kępiński,56451,28014,28437
kętrzyński,62283,30529,31754
kielecki,211259,105272,105987
kłobucki,84591,41683,42908
kłodzki,157996,76270,81726
kluczborski,65470,31909,33561
kolbuszowski,62246,31016,31230
kolneński,38057,19055,19002
kołobrzeski,79438,38094,41344
kolski,86727,42514,44213
konecki,79858,39373,40485
koniński,130053,64719,65334
kościański,79183,38848,40335
kościerski,72688,36363,36325
koszaliński,66480,33139,33341
kozienicki,59997,29781,30216
krakowski,279239,136631,142608
krapkowicki,63747,30841,32906
kraśnicki,95348,46331,49017
krasnostawski,63258,30805,32453
krośnieński,54829,26961,27868
krośnieński,112283,55272,57011
krotoszyński,77274,37955,39319
kutnowski,96569,46423,50146
kwidzyński,83174,41249,41925
łańcucki,81049,39854,41195
łaski,49918,24282,25636
lęborski,66115,32559,33556
łęczycki,49747,24149,25598
łęczyński,57331,28122,29209
legionowski,118585,57181,61404
legnicki,55166,27060,28106
leski,26441,13058,13383
leszczyński,57201,28504,28697
leżajski,69370,34287,35083
lidzbarski,41180,20290,20890
limanowski,131764,65962,65802
lipnowski,65750,32720,33030
lipski,33874,16796,17078
łobeski,36696,18304,18392
łódzki,72179,34650,37529
łomżyński,50943,25789,25154
łosicki,30774,15320,15454
łowicki,78099,37802,40297
lubaczowski,55217,27423,27794
